tOut,tSoOut,wind
4.520353938,9.491191418,11.71569325
4.216812366,9.490919154,11.97876262
3.866108216,9.490646892,12.28270621
3.500000004,9.490374631,12.6
3.13412985,9.490102372,12.91708746
2.78486893,9.489830114,13.21978026
2.469277756,9.489557858,13.49329261
2.237077133,9.489285604,13.69453315
2.089812766,9.489013351,13.82216227
2.03147586,9.4887411,13.86870704
2.058786274,9.488468851,13.83162338
2.179572876,9.488196603,13.69188931
2.362820974,9.487924357,13.48135243
2.594502125,9.487652113,13.21752026
2.860587884,9.48737987,12.91790028
3.147939154,9.487107629,12.60000001
3.440014613,9.486835389,12.28067687
3.721234142,9.486563152,11.98536784
3.978668167,9.486290916,11.72571784
4.213011258,9.486018681,11.4999704
4.370742089,9.485746448,11.38065008
4.486869958,9.485474217,11.32835379
4.562633742,9.485201987,11.35904512
4.62021897,9.484929759,11.46071727
4.669325739,9.484657532,11.63120544
4.712632987,9.484385308,11.84475562
4.75088441,9.484113085,12.09039872
4.785923395,9.483840863,12.35
4.818866849,9.483568644,12.60766252
4.851296646,9.483296425,12.85528012
4.884553126,9.483024209,13.06467892
4.920095229,9.482751995,13.22703528
4.957615145,9.482479781,13.3532199
5.000022973,9.48220757,13.3996768
5.050813207,9.48193536,13.32745032
5.108020061,9.481663152,13.16315573
5.170894043,9.481390946,12.9062582
5.23646437,9.481118741,12.59057127
5.302846515,9.480846538,12.23130072
5.367837632,9.480574336,11.85
5.42895603,9.480302136,11.46818165
5.483861955,9.480029938,11.10880078
5.529787865,9.479757742,10.79673818
5.566621527,9.479485547,10.54006217
5.590540982,9.479213354,10.36899242
5.586430063,9.478941162,10.33143902
5.520228777,9.478668973,10.42653366
5.366798747,9.478396785,10.66990544
5.133848201,9.478124598,11.0394132
4.845552953,9.477852413,11.49670911
4.508740926,9.47758023,12.03096267
4.150000006,9.477308048,12.59999999
3.791018779,9.477035869,13.16941849
3.454065982,9.476763691,13.70389534
3.155910034,9.476491514,14.17683236
2.926526215,9.47621934,14.54068256
2.767964853,9.475947167,14.79219368
2.701800321,9.475674995,14.8971006
2.723664343,9.475402826,14.8600033
2.771724907,9.475130658,14.77837893
2.856980703,9.474858492,14.63198069
2.959609306,9.474586327,14.45434505
3.080594728,9.474314164,14.24297674
3.219902976,9.474042002,13.99570145
3.368283709,9.473769843,13.72848677
3.522540118,9.473497685,13.44474154
3.677449421,9.473225529,13.15369469
3.828546381,9.472953374,12.86097528
3.970947109,9.472681221,12.57406778
4.100026393,9.47240907,12.29960411
4.231508239,9.472136921,11.99426918
4.379324209,9.471864773,11.62556172
4.538453986,9.471592627,11.20984214
4.703543326,9.471320483,10.76392956
4.8692659,9.47104834,10.3069009
5.03010055,9.4707762,9.854290803
5.181341919,9.47050406,9.422782964
5.314357907,9.470231923,9.03827588
5.430619475,9.469959787,8.699670862
5.520846556,9.469687653,8.434595377
5.572628836,9.469415521,8.281304908
5.599534441,9.46914339,8.201349867
5.595138773,9.468871261,8.212153068
5.584609101,9.468599134,8.238477247
5.568341276,9.468327008,8.279146809
5.547869746,9.468054884,8.330325635
5.524649371,9.467782762,8.388376574
5.5,9.467510641,8.449999999
5.47546869,9.467238523,8.511328274
5.451870986,9.466966406,8.570322534
5.4319446,9.466694291,8.6201385
5.415682271,9.466422177,8.660794323
5.404125487,9.466150065,8.689686283
5.401303402,9.465877955,8.698067898
5.407977453,9.465605847,8.693456578
5.423644185,9.46533374,8.680059518
5.446989223,9.465061635,8.659235393
5.478411675,9.464789532,8.628573133
5.513243478,9.46451743,8.591751048
5.55,9.46424533,8.548638035
5.586619487,9.463973232,8.500260286
5.62113148,9.463701136,8.447057406
5.651484063,9.463429041,8.389713368
5.675233012,9.463156948,8.328781375
5.692997335,9.462884857,8.265203817
5.69513166,9.462612767,8.193013323
5.67720601,9.46234068,8.087395774
5.640953041,9.462068594,7.949328313
5.584112343,9.461796509,7.772888713
5.501389774,9.461524427,7.556729457
5.410710061,9.461252346,7.332910382
5.30967242,9.460980267,7.100648956
5.201284551,9.46070819,6.877788282
5.091547409,9.460436114,6.667153467
4.982654577,9.46016404,6.485947828
4.880525291,9.459891968,6.348910636
4.783199138,9.459619897,6.240224473
4.700653912,9.459347829,6.203337197
4.624636047,9.459075762,6.2
4.547806974,9.458803697,6.2
4.470518021,9.458531633,6.2
4.393504386,9.458259572,6.2
4.317275433,9.457987511,6.2
4.243541548,9.457715453,6.2
4.172984206,9.457443397,6.2
4.106769861,9.457171342,6.2
4.045200106,9.456899289,6.2
3.989196089,9.456627238,6.2
3.941939234,9.456355188,6.2
3.901271581,9.456083141,6.192682842
3.866741487,9.455811095,6.155837899
3.838799869,9.455539051,6.035553576
3.814467825,9.455267008,5.862892945
3.792896476,9.454994968,5.649394277
3.773167627,9.454722929,5.407586865
3.754363082,9.454450891,5.150000001
3.735022669,9.454178856,4.895186215
3.715191289,9.453906822,4.64572489
3.692568621,9.45363479,4.42998267
3.666628092,9.45336276,4.256286426
3.635336497,9.453090732,4.151752499
3.598526161,9.452818705,4.104984942
3.550076192,9.45254668,4.1
3.484782172,9.452274657,4.1
3.405261027,9.452002636,4.1
3.315968609,9.451730617,4.1
3.218027182,9.451458599,4.1
3.113928052,9.451186583,4.1
3.006168228,9.450914569,4.1
2.89703112,9.450642556,4.1
2.790293772,9.450370545,4.1
2.687320831,9.450098537,4.1
2.588945022,9.449826529,4.1
2.500429033,9.449554524,4.1
2.410450168,9.449282521,4.1
2.317663858,9.449010519,4.1
2.219931259,9.448738518,4.1
2.120157839,9.44846652,4.1
2.02164995,9.448194523,4.1
1.927172437,9.447922529,4.1
1.838484748,9.447650536,4.1
1.76198026,9.447378545,4.1
1.698024467,9.447106556,4.1
1.648998554,9.446834568,4.1
1.618333414,9.446562582,4.1
1.600657936,9.446290598,4.1
1.625079033,9.446018616,4.1
1.665326635,9.445746636,4.1
1.72916451,9.445474657,4.1
1.809694163,9.44520268,4.1
1.901708393,9.444930705,4.1
1.999985574,9.444658731,4.1
2.098811015,9.44438676,4.1
2.187794948,9.444114791,4.1
2.27051863,9.443842823,4.1
2.33145674,9.443570857,4.1
2.371868416,9.443298893,4.0975345
2.388856169,9.44302693,4.092255471
2.361716174,9.442754969,4.045650699
2.30158442,9.44248301,3.960259216
2.208060363,9.442211053,3.827414839
2.077079072,9.441939098,3.641216836
1.932476983,9.441667145,3.435533174
1.777332703,9.441395193,3.214710786
1.615421766,9.441123243,2.983939272
1.461779074,9.440851295,2.764476719
1.311078904,9.440579349,2.549038827
1.190639936,9.440307405,2.375897241
1.079726048,9.440035462,2.216068928
1.009401611,9.439763521,2.113152615
0.950282397,9.439491582,2.025947567
0.899040234,9.439219645,1.949668245
0.850561723,9.438947709,1.877244384
0.80457685,9.438675775,1.808363437
0.761474218,9.438403843,1.74366115
0.722619584,9.438131913,1.685204721
0.6883682,9.437859986,1.633584367
0.659580557,9.43758806,1.59013057
0.635069845,9.437316135,1.553096196
0.615883692,9.437044212,1.524069267
0.60633041,9.436772291,1.509595822
0.600011076,9.436500372,1.500025041
0.604225419,9.436228455,1.512676258
0.614964349,9.435956539,1.544893048
0.631472746,9.435684626,1.594418239
0.651867131,9.435412714,1.655601394
0.675469082,9.435140804,1.726407246
0.7,9.434868896,1.8
0.724531721,9.43459699,1.873595163
0.747782145,9.434325085,1.943346435
0.768662742,9.434053183,2.005988227
0.784252674,9.433781282,2.052758021
